SSN,FirstName,LastName,DOB,ADDRESS,CITY,STATE,ZIP,PHONE,Email,Bank_Account_No,Credit Card Number,Driving_License_No,Passport_No,Insurance_No,Medical_Store_Name,BloodGroup,Allergies,Symptoms,Any_Disease,Country
489-36-8350,Lynette,Oyola,07-03-1976,10923 US ROUTE 11,ADAMS,NY,13605,(315)232-4562,Lynette.Oyola@ibm.com,1.37E+16,4929-3813-3266-4295,97204831,2500296239,MQ938548A,KINNEY DRUGS #04,B+,Soy,low blood pressure,diarrhea,USA
514-14-8905,Stacey,Peacock,03-01-1978,36 MAIN ST,ADDISON,NY,14801,(607)504-4091,Stacey.Peacock@ibm.com,7.11E+16,5370-4638-8881-3020,44101073,3378081427,IG994441D,ADDISON'S APOTHECARY,O+,Soy,diarrhea,vomiting,USA
690-05-5315,Julie,Renfro,6-15-1976,58 MAIN ST,AKRON,NY,14001,(716)542-6300,Julie.Renfro@oracle.com,5.32E+16,4916-4811-5814-8111,23464488,6628814609,GJ050822A,AKRON PHARMACY,B+,None,None,None,USA
421-37-1396,Danny,Reyes,03-02-1962,12983 MAIN RD,AKRON,NY,14001,(716)542-9761,Danny.Reyes@microsoft.com,3.69E+15,4916-4034-9269-8783,86055639,7442021417,MJ856000C,RITE AID #10804,AB-,Milk Products,diarrhea,itchy rash,USA
458-02-6124,Jacki,Russell,05-02-1980,25 POST RD STE 5,ALBANY,NY,12205,(518)218-1772,Jacki.Russell@citybank.com,3.75E+16,5299-1561-5689-1938,90914933,9536733597,FI911014D,ADVANCED CARE,O+,None,None,None,USA
612-20-6832,Thomas,Santos,04-03-1976,43 NEW SCOTLAND AVE,ALBANY,NY,12208,(518)262-3263,Thomas.Santos@gmail.com,7.00E+16,5293-8502-0071-3058,26431609,2112705494,HQ257069D,ALBANY MEDICAL CENTER PHARMACY,B+,Soy,low blood pressure,diarrhea,USA
300-62-3266,Mireille,Townsend,02-02-1986,57 KARNER RD STE B ,ALBANY, NY,12205,(518)690-1060,Mireille.Townsend@cnbc.com,8.91E+16,5548-0246-6336-5664,63461852,1081372402,BS521956A,ANTHEM HEALTH SERVICES,A-,Milk Products,itchy rash,itchy rash,USA
660-03-8360,Lillian,Venson,5-15-1980,75 NEW SCOTLAND AVE,ALBANY,NY,12208,(518)447-9611,Lillian.Venson@citybank.com,1.25E+16,4539-5385-7425-5825,61531946,1630003683,ZC443091B,CAPITAL DIST PSYCHTRC CTR PHCY,O+,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
213-46-8915,Gail,Watson,07-02-1986,346 CENTRAL AVE,ALBANY,NY,12206,(518)621-7748,Gail.Watson@hotmail.com,8.74E+15,4916-9766-5240-6147,71301716,6980138086,TA990531C,CENTRAL AVE PHARMACY,A-,Fish,low blood pressure,itchy rash,USA
449-48-3135,Johnson,White,02-02-1980,16 WALKER WAY,ALBANY,NY,12205,(518)452-7795,Johnson.White@gmail.com,6.43E+16,4556-0072-1294-7415,13099508,510359223,AR009026B,CHEM RX #7042,O+,Soy,itchy rash,itchy rash,USA
559-81-1301,Rebecca,Zwick,5-15-1974,12 JUPITER LN,ALBANY,NY,12205,(518)689-2900,Rebecca.Zwick@microsoft.com,7.01E+16,4532-4220-6922-9909,83783889,3869128906,EC248990A,CORAM,A+,Soy,low blood pressure,swelling of the tongue-mouth or face,USA
322-84-2281,Robert,Aragon,05-01-1974,26A PICOTTE DR,ALBANY,NY,12208,(518)435-2315,Robert.Aragon@hlsolution.com,7.11E+16,4916-6734-7572-5015,97204831,3820966453,MQ938548A,CRESTWOOD PHARMACY,A+,Soy,low blood pressure,vomiting,USA
646-44-9061,Ashley,Borden,3-15-1977,16 NEW SCOTLAND AVE,ALBANY,NY,12208,(518)434-0677,Ashley.Borden@ibm.com,5.32E+16,5218-0144-2703-9266,44101073,5476150558,IG994441D,CVS #00134,O-,whole wheat,diarrhea,swelling of the tongue-mouth or face,USA
465-73-5022,Thomas,Conley,07-02-1986,1026 MADISON AVE,ALBANY,NY,12208,(518)489-8516,Thomas.Conley@hotmail.com,3.69E+15,5399-0706-4128-0178,23464488,5168772062,GJ050822A,CVS #00413,A-,whole wheat,low blood pressure,itchy rash,USA
044-34-6954,Susan,Davis,02-02-1977,885 CENTRAL AVE,ALBANY,NY,12206,(518)459-4550,Susan.Davis@hlsolution.com,3.75E+16,5144-8691-2776-1108,86055639,9908859237,MJ856000C,CVS #00417,B-,Fish,itchy rash,itchy rash,USA
477-36-0282,Christopher,Diaz,05-02-1977,415 DELAWARE AVE STE 419,ALBANY,NY,12209,(518)463-2986,Christopher.Diaz@citybank.com,7.00E+16,5527-1247-5046-7780,90914933,2711543002,FI911014D,CVS #00600,O-,None,None,None,USA
421-90-3440,Rick,Edwards,6-15-1980,153 CENTRAL AVE,ALBANY,NY,12206,(518)463-1362,Rick.Edwards@gmail.com,8.91E+16,4539-0031-3703-0728,26431609,107014524,HQ257069D,CVS #00680,O+,Nuts,low blood pressure,swelling of the tongue-mouth or face,USA
524-02-7657,Victor,Faulkner,1-15-1977,613 NEW SCOTLAND AVE,ALBANY,NY,12208,(518)482-4996,Victor.Faulkner@ibm.com,1.25E+16,5180-3807-3679-8221,63461852,2319541949,BS521956A,CVS #00744,O-,whole wheat,vomiting,swelling of the tongue-mouth or face,USA
205-52-0027,Lisa,Garrison,02-03-1986,1170 WESTERN AVE,ALBANY,NY,12203,(518)459-0795,Lisa.Garrison@ibm.com,8.74E+15,5413-4428-0145-0036,61531946,6639806647,ZC443091B,CVS #00778,A-,Egg,itchy rash,diarrhea,USA
587-03-2682,Marjorie,Green,05-03-1976,2040 WESTERN AVE STE 155,ALBANY,NY,12203,(518)869-0657,Marjorie.Green@cnbc.com,6.43E+16,4532-9929-3036-9308,71301716,5599668894,TA990531C,CVS #01895,B+,Soy,low blood pressure,diarrhea,USA
687-05-8365,Mark,Hall,5-15-1978,1475 WESTERN AVE,ALBANY,NY,12203,(518)482-8759,Mark.Hall@gmail.com,7.01E+16,5495-8602-4508-6804,13099508,2070245532,AR009026B,CVS #05030,O+,Milk Products,low blood pressure,swelling of the tongue-mouth or face,USA
751-01-2327,James,Heard,06-02-1978,CENTRAL AVE,ALBANY,NY,12206,(518)438-2152,James.Heard@ibm.com,3.84E+16,5325-3256-9519-6624,83783889,2065699226,EC248990A,HANNAFORD FOOD AND DRUG #367900,O+,Egg,low blood pressure,itchy rash,USA
624-84-9181,Albert,Iorio,02-02-1962,920 LARK DR,ALBANY,NY,12210,(518)427-0130,Albert.Iorio@citybank.com,2.33E+16,4532-0065-1968-5602,36499795,1150789587,FA115007D,HOUSE CALLS PHARMACY #211,AB-,whole wheat,itchy rash,itchy rash,USA
514-30-2668,Charles,Jackson,4-15-1978,300 MORTON AVE,ALBANY,NY,12209,(518)465-2253,Charles.Jackson@hlsolution.com,5.30E+16,3.45E+14,86494751,4428058140,VK154689C,LINCOLN PHARMACY,O+,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
451-80-3526,Teresa,Kaminski,06-02-1980,400 PATROON CREEK BLVD,ALBANY,NY,12206,(518)489-0044,Teresa.Kaminski@gmail.com,9.47E+16,4716-6984-4983-6160,94922937,964791706,AF455812C,NYOH PATIENT PRESCRIPTION CNTR,O+,Soy,low blood pressure,itchy rash,USA
404-12-2154,Tim,Lowe,06-01-1977,150 NEW SCOTLAND AVE,ALBANY,NY,12208,(518)512-5802,Tim.Lowe@microsoft.com,9.38E+16,4539-8219-0484-7598,36059751,174369357,ZC115316D,PARAMOUNT SPECIALTY PHARMACY,B-,whole wheat,low blood pressure,vomiting,USA
505-88-5714,Monte,Mceachern,02-03-1986,1892 CENTRAL AVE,ALBANY,NY,12205,(518)456-9360,Monte.Mceachern@oracle.com,7.14E+16,3.02E+13,14991808,2108304564,SR605965B,PRICE CHOPPER PHARMACY #104,A-,Nuts,itchy rash,diarrhea,USA
461-97-5660,Adriane,Morrison,05-02-1977,1706 WESTERN AVE,ALBANY,NY,12203,(518)456-0742,Adriane.Morrison@oracle.com,7.36E+16,4532-1753-6071-1112,32307528,1406832522,TP928531D,PRICE CHOPPER PHARMACY #183,O-,Soy,low blood pressure,itchy rash,USA
172-32-1176,Jerome,Munsch,5-15-1978,475 SHAKER RD,ALBANY,NY,12211,(518)915-7900,Jerome.Munsch@hlsolution.com,2.93E+16,5270-4267-6450-5516,37447087,4594658653,ZD631808A,PRICE CHOPPER PHARMACY #188,O+,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
151-32-2558,Agnes,Nelson,04-02-1976,1225 WESTERN AVE,ALBANY,NY,12203,(518)458-8691,Agnes.Nelson@cnbc.com,4.58E+16,5252-5971-4219-4116,63199395,8751516741,MD384821D,RITE AID #10691,B+,Milk Products,low blood pressure,itchy rash,USA
489-36-8351,Lynette,Oyola,04-01-1978,911 CENTRAL AVE,ALBANY,NY,12206,(518)438-3535,Lynette.Oyola@microsoft.com,5.93E+16,4929-3813-3266-4296,62944246,2678331564,NX777262C,RITE AID #10692 ,O+,Soy,low blood pressure,vomiting,USA
514-14-8906,Stacey,Peacock,4-15-1976,581 CENTRAL AVE,ALBANY,NY,12206,(518)453-0021,Stacey.Peacock@hotmail.com,4.94E+16,5370-4638-8881-3021,55688441,7871408164,DS881750B,RITE AID #1031 ,B+,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
